financial_year,health_board,age_group,sex,discharge_count,discharge_count_qf,discharge_rates,discharge_rates_qf,patients_count,patient_count_qf,patients_rates,patient_rates_qf
1997,All of Scotland,0-17,Male,780,NA,133.93,NA,700,NA,120.19,NA
1997,All of Scotland,0-17,Female,710,NA,127.25,NA,610,NA,109.33,NA
1997,All of Scotland,18-24,Male,2020,NA,913.05,NA,1360,NA,614.73,NA
1997,All of Scotland,18-24,Female,1310,NA,589.16,NA,860,NA,386.78,NA
1997,All of Scotland,25-39,Male,6450,NA,1123.62,NA,4240,NA,738.63,NA
1997,All of Scotland,25-39,Female,4900,NA,817.63,NA,3060,NA,510.6,NA
1997,All of Scotland,40-64,Male,7280,NA,968.46,NA,4930,NA,655.84,NA
1997,All of Scotland,40-64,Female,5390,NA,686.33,NA,3650,NA,464.77,NA
1997,All of Scotland,65+,Male,5080,NA,1623.35,NA,3400,NA,1086.49,NA
1997,All of Scotland,65+,Female,7860,NA,1650.94,NA,5570,NA,1169.94,NA
1998,All of Scotland,0-17,Male,780,NA,134.98,NA,700,NA,121.13,NA
1998,All of Scotland,0-17,Female,720,NA,130.22,NA,580,NA,104.9,NA
1998,All of Scotland,18-24,Male,1900,NA,871.51,NA,1300,NA,596.3,NA
1998,All of Scotland,18-24,Female,1360,NA,619.8,NA,890,NA,405.6,NA
1998,All of Scotland,25-39,Male,6520,NA,1151.78,NA,4260,NA,752.54,NA
1998,All of Scotland,25-39,Female,4900,NA,825.13,NA,3140,NA,528.75,NA
1998,All of Scotland,40-64,Male,7160,NA,940.53,NA,4880,NA,641.03,NA
1998,All of Scotland,40-64,Female,5480,NA,689.26,NA,3750,NA,471.67,NA
1998,All of Scotland,65+,Male,5180,NA,1640.55,NA,3520,NA,1114.82,NA
1998,All of Scotland,65+,Female,7900,NA,1656.77,NA,5590,NA,1172.32,NA
1999,All of Scotland,0-17,Male,740,NA,129.34,NA,660,NA,115.36,NA
1999,All of Scotland,0-17,Female,660,NA,120.6,NA,560,NA,102.33,NA
1999,All of Scotland,18-24,Male,2120,NA,968.26,NA,1470,NA,671.39,NA
1999,All of Scotland,18-24,Female,1250,NA,567.91,NA,850,NA,386.18,NA
1999,All of Scotland,25-39,Male,6580,NA,1184.05,NA,4200,NA,755.78,NA
1999,All of Scotland,25-39,Female,4480,NA,764.63,NA,2950,NA,503.5,NA
1999,All of Scotland,40-64,Male,7530,NA,976.14,NA,5030,NA,652.06,NA
1999,All of Scotland,40-64,Female,5550,NA,689.08,NA,3840,NA,476.77,NA
1999,All of Scotland,65+,Male,5060,NA,1589.47,NA,3400,NA,1068.02,NA
1999,All of Scotland,65+,Female,7310,NA,1533.37,NA,5240,NA,1099.16,NA
2000,All of Scotland,0-17,Male,740,NA,130.52,NA,650,NA,114.64,NA
2000,All of Scotland,0-17,Female,580,NA,107.2,NA,520,NA,96.11,NA
2000,All of Scotland,18-24,Male,2090,NA,954,NA,1400,NA,639.04,NA
2000,All of Scotland,18-24,Female,1220,NA,554.89,NA,850,NA,386.61,NA
2000,All of Scotland,25-39,Male,6470,NA,1191.98,NA,4130,NA,760.88,NA
2000,All of Scotland,25-39,Female,4640,NA,804.2,NA,2920,NA,506.09,NA
2000,All of Scotland,40-64,Male,7520,NA,962.57,NA,5050,NA,646.4,NA
2000,All of Scotland,40-64,Female,5510,NA,675.65,NA,3760,NA,461.06,NA
2000,All of Scotland,65+,Male,4740,NA,1472.83,NA,3140,NA,975.67,NA
2000,All of Scotland,65+,Female,7020,NA,1469.68,NA,4980,NA,1042.59,NA
2001,All of Scotland,0-17,Male,720,NA,128.1,NA,620,NA,110.31,NA
2001,All of Scotland,0-17,Female,620,NA,115.77,NA,530,NA,98.97,NA
2001,All of Scotland,18-24,Male,2020,NA,915.51,NA,1340,NA,607.32,NA
2001,All of Scotland,18-24,Female,1130,NA,514.22,NA,790,NA,359.5,NA
2001,All of Scotland,25-39,Male,6420,NA,1206.78,NA,4000,NA,751.89,NA
2001,All of Scotland,25-39,Female,4510,NA,794.91,NA,2880,NA,507.61,NA
2001,All of Scotland,40-64,Male,7400,NA,933.96,NA,5000,NA,631.06,NA
2001,All of Scotland,40-64,Female,5950,NA,719.17,NA,3920,NA,473.8,NA
2001,All of Scotland,65+,Male,4630,NA,1417.16,NA,3120,NA,954.98,NA
2001,All of Scotland,65+,Female,6670,NA,1388.22,NA,4740,NA,986.53,NA
2002,All of Scotland,0-17,Male,620,NA,111.44,NA,520,NA,93.46,NA
2002,All of Scotland,0-17,Female,580,NA,109.18,NA,500,NA,94.12,NA
2002,All of Scotland,18-24,Male,1800,NA,802.88,NA,1220,NA,544.17,NA
2002,All of Scotland,18-24,Female,1220,NA,546.84,NA,840,NA,376.51,NA
2002,All of Scotland,25-39,Male,6170,NA,1187.32,NA,3980,NA,765.89,NA
2002,All of Scotland,25-39,Female,4360,NA,785.49,NA,2790,NA,502.64,NA
2002,All of Scotland,40-64,Male,7450,NA,926.13,NA,5120,NA,636.48,NA
2002,All of Scotland,40-64,Female,5880,NA,700.75,NA,3960,NA,471.93,NA
2002,All of Scotland,65+,Male,4670,NA,1410.91,NA,3180,NA,960.75,NA
2002,All of Scotland,65+,Female,6550,NA,1359.28,NA,4720,NA,979.52,NA
2003,All of Scotland,0-17,Male,540,NA,98.28,NA,480,NA,87.36,NA
2003,All of Scotland,0-17,Female,540,NA,102.77,NA,460,NA,87.54,NA
2003,All of Scotland,18-24,Male,1780,NA,779.7,NA,1170,NA,512.5,NA
2003,All of Scotland,18-24,Female,1140,NA,501.91,NA,780,NA,343.41,NA
2003,All of Scotland,25-39,Male,5990,NA,1175.57,NA,3860,NA,757.54,NA
2003,All of Scotland,25-39,Female,4100,NA,755.68,NA,2670,NA,492.11,NA
2003,All of Scotland,40-64,Male,7580,NA,929.74,NA,5140,NA,630.46,NA
2003,All of Scotland,40-64,Female,5960,NA,699.32,NA,4090,NA,479.9,NA
2003,All of Scotland,65+,Male,4560,NA,1359.06,NA,3200,NA,953.73,NA
2003,All of Scotland,65+,Female,6800,NA,1407.85,NA,4710,NA,975.14,NA
2004,All of Scotland,0-17,Male,470,NA,86.24,NA,410,NA,75.23,NA
2004,All of Scotland,0-17,Female,450,NA,86.27,NA,390,NA,74.77,NA
2004,All of Scotland,18-24,Male,1780,NA,773.88,NA,1160,NA,504.32,NA
2004,All of Scotland,18-24,Female,1080,NA,468.25,NA,720,NA,312.16,NA
2004,All of Scotland,25-39,Male,5710,NA,1134.95,NA,3720,NA,739.41,NA
2004,All of Scotland,25-39,Female,4020,NA,753.29,NA,2560,NA,479.71,NA
2004,All of Scotland,40-64,Male,7740,NA,934.83,NA,5130,NA,619.59,NA
2004,All of Scotland,40-64,Female,5900,NA,680.49,NA,4010,NA,462.5,NA
2004,All of Scotland,65+,Male,4340,NA,1274.57,NA,3030,NA,889.85,NA
2004,All of Scotland,65+,Female,6080,NA,1254.24,NA,4440,NA,915.93,NA
2005,All of Scotland,0-17,Male,460,NA,84.86,NA,400,NA,73.79,NA
2005,All of Scotland,0-17,Female,450,NA,86.84,NA,360,NA,69.47,NA
2005,All of Scotland,18-24,Male,1510,NA,649.51,NA,990,NA,425.84,NA
2005,All of Scotland,18-24,Female,1040,NA,442.99,NA,700,NA,298.17,NA
2005,All of Scotland,25-39,Male,5460,NA,1093.24,NA,3540,NA,708.8,NA
2005,All of Scotland,25-39,Female,3580,NA,678.72,NA,2340,NA,443.63,NA
2005,All of Scotland,40-64,Male,7740,NA,919.45,NA,5180,NA,615.34,NA
2005,All of Scotland,40-64,Female,5850,NA,663.49,NA,3900,NA,442.33,NA
2005,All of Scotland,65+,Male,4130,NA,1195.35,NA,2950,NA,853.82,NA
2005,All of Scotland,65+,Female,5900,NA,1211.96,NA,4310,NA,885.35,NA
2006,All of Scotland,0-17,Male,460,NA,85.47,NA,410,NA,76.18,NA
2006,All of Scotland,0-17,Female,440,NA,85.49,NA,360,NA,69.95,NA
2006,All of Scotland,18-24,Male,1400,NA,595.75,NA,980,NA,417.02,NA
2006,All of Scotland,18-24,Female,1000,NA,421.82,NA,650,NA,274.18,NA
2006,All of Scotland,25-39,Male,5200,NA,1045.06,NA,3320,NA,667.23,NA
2006,All of Scotland,25-39,Female,3460,NA,661.8,NA,2210,NA,422.71,NA
2006,All of Scotland,40-64,Male,7980,NA,933.65,NA,5250,NA,614.24,NA
2006,All of Scotland,40-64,Female,5700,NA,636.74,NA,3840,NA,428.96,NA
2006,All of Scotland,65+,Male,4260,NA,1218.57,NA,3020,NA,863.87,NA
2006,All of Scotland,65+,Female,6060,NA,1241.33,NA,4260,NA,872.62,NA
2007,All of Scotland,0-17,Male,470,NA,87.27,NA,420,NA,77.98,NA
2007,All of Scotland,0-17,Female,490,NA,95.24,NA,420,NA,81.63,NA
