financial_year,health_board,icd10codes,discharge_count,discharge_count_qf,discharge_rates,discharge_rates_qf,patients_count,patient_count_qf,patients_rates,patient_rates_qf,hospital_residents_count,hospital_residents_count_qf,hospital_residents_rates,hospital_residents_rates_qf,diagnosis_grouping
1997,All of Scotland,F60 - F69,1230,NA,24.2,NA,850,NA,16.72,NA,140,NA,2.75,NA,Disorders of Adult Personality & Behaviour
1997,All of Scotland,F10 - F19,11010,NA,216.59,NA,8230,NA,161.9,NA,490,NA,9.64,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
1997,All of Scotland,F30 - F39,9460,NA,186.1,NA,7040,NA,138.49,NA,1180,NA,23.21,NA,Mood Disorders
1997,All of Scotland,F40 - F49,3200,NA,62.95,NA,2760,NA,54.3,NA,170,NA,3.34,NA,"Neurotic, Stress-related & Somatoform Disorders"
1997,All of Scotland,F00 - F09 or Chapter G and second position F00,8900,NA,175.08,NA,6120,NA,120.39,NA,3160,NA,62.16,NA,"Organic, Including Symptomatic Mental Disorders"
1997,All of Scotland,"F50 - F59, F70 - F99",810,NA,15.93,NA,680,NA,13.38,NA,180,NA,3.54,NA,Other Selected Diagnoses Principally Affecting Children & Young People
1997,All of Scotland,F20 - F29,6400,NA,125.9,NA,4270,NA,84,NA,2320,NA,45.64,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
1998,All of Scotland,F60 - F69,1360,NA,26.79,NA,930,NA,18.32,NA,140,NA,2.76,NA,Disorders of Adult Personality & Behaviour
1998,All of Scotland,F10 - F19,10850,NA,213.71,NA,8100,NA,159.54,NA,450,NA,8.86,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
1998,All of Scotland,F30 - F39,9470,NA,186.52,NA,7100,NA,139.84,NA,1120,NA,22.06,NA,Mood Disorders
1998,All of Scotland,F40 - F49,3080,NA,60.66,NA,2640,NA,52,NA,120,NA,2.36,NA,"Neurotic, Stress-related & Somatoform Disorders"
1998,All of Scotland,F00 - F09 or Chapter G and second position F00,8710,NA,171.56,NA,6100,NA,120.15,NA,2890,NA,56.92,NA,"Organic, Including Symptomatic Mental Disorders"
1998,All of Scotland,"F50 - F59, F70 - F99",840,NA,16.54,NA,700,NA,13.79,NA,160,NA,3.15,NA,Other Selected Diagnoses Principally Affecting Children & Young People
1998,All of Scotland,F20 - F29,6740,NA,132.75,NA,4470,NA,88.04,NA,2220,NA,43.73,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
1999,All of Scotland,F60 - F69,1230,NA,24.25,NA,880,NA,17.35,NA,120,NA,2.37,NA,Disorders of Adult Personality & Behaviour
1999,All of Scotland,F10 - F19,11520,NA,227.13,NA,8570,NA,168.97,NA,420,NA,8.28,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
1999,All of Scotland,F30 - F39,9130,NA,180.01,NA,6820,NA,134.47,NA,1060,NA,20.9,NA,Mood Disorders
1999,All of Scotland,F40 - F49,2880,NA,56.78,NA,2500,NA,49.29,NA,110,NA,2.17,NA,"Neurotic, Stress-related & Somatoform Disorders"
1999,All of Scotland,F00 - F09 or Chapter G and second position F00,8300,NA,163.65,NA,5860,NA,115.54,NA,2660,NA,52.45,NA,"Organic, Including Symptomatic Mental Disorders"
1999,All of Scotland,"F50 - F59, F70 - F99",670,NA,13.21,NA,550,NA,10.84,NA,140,NA,2.76,NA,Other Selected Diagnoses Principally Affecting Children & Young People
1999,All of Scotland,F20 - F29,6680,NA,131.7,NA,4490,NA,88.53,NA,2110,NA,41.6,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2000,All of Scotland,F60 - F69,1250,NA,24.69,NA,870,NA,17.18,NA,120,NA,2.37,NA,Disorders of Adult Personality & Behaviour
2000,All of Scotland,F10 - F19,10800,NA,213.31,NA,8040,NA,158.8,NA,420,NA,8.3,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2000,All of Scotland,F30 - F39,9150,NA,180.73,NA,6740,NA,133.12,NA,1060,NA,20.94,NA,Mood Disorders
2000,All of Scotland,F40 - F49,2720,NA,53.72,NA,2380,NA,47.01,NA,110,NA,2.17,NA,"Neurotic, Stress-related & Somatoform Disorders"
2000,All of Scotland,F00 - F09 or Chapter G and second position F00,7550,NA,149.12,NA,5360,NA,105.87,NA,2510,NA,49.58,NA,"Organic, Including Symptomatic Mental Disorders"
2000,All of Scotland,"F50 - F59, F70 - F99",650,NA,12.84,NA,520,NA,10.27,NA,140,NA,2.77,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2000,All of Scotland,F20 - F29,7080,NA,139.84,NA,4590,NA,90.66,NA,2060,NA,40.69,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2001,All of Scotland,F60 - F69,1280,NA,25.28,NA,870,NA,17.18,NA,130,NA,2.57,NA,Disorders of Adult Personality & Behaviour
2001,All of Scotland,F10 - F19,10830,NA,213.85,NA,8030,NA,158.56,NA,370,NA,7.31,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2001,All of Scotland,F30 - F39,8860,NA,174.95,NA,6540,NA,129.14,NA,1030,NA,20.34,NA,Mood Disorders
2001,All of Scotland,F40 - F49,2780,NA,54.9,NA,2340,NA,46.21,NA,110,NA,2.17,NA,"Neurotic, Stress-related & Somatoform Disorders"
2001,All of Scotland,F00 - F09 or Chapter G and second position F00,7430,NA,146.72,NA,5230,NA,103.27,NA,2340,NA,46.21,NA,"Organic, Including Symptomatic Mental Disorders"
2001,All of Scotland,"F50 - F59, F70 - F99",560,NA,11.06,NA,470,NA,9.28,NA,120,NA,2.37,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2001,All of Scotland,F20 - F29,7120,NA,140.59,NA,4530,NA,89.45,NA,1970,NA,38.9,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2002,All of Scotland,F60 - F69,1260,NA,24.87,NA,870,NA,17.17,NA,110,NA,2.17,NA,Disorders of Adult Personality & Behaviour
2002,All of Scotland,F10 - F19,10710,NA,211.41,NA,7910,NA,156.14,NA,360,NA,7.11,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2002,All of Scotland,F30 - F39,8760,NA,172.92,NA,6550,NA,129.29,NA,1030,NA,20.33,NA,Mood Disorders
2002,All of Scotland,F40 - F49,2610,NA,51.52,NA,2260,NA,44.61,NA,100,NA,1.97,NA,"Neurotic, Stress-related & Somatoform Disorders"
2002,All of Scotland,F00 - F09 or Chapter G and second position F00,7340,NA,144.89,NA,5220,NA,103.04,NA,2170,NA,42.83,NA,"Organic, Including Symptomatic Mental Disorders"
2002,All of Scotland,"F50 - F59, F70 - F99",570,NA,11.25,NA,470,NA,9.28,NA,120,NA,2.37,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2002,All of Scotland,F20 - F29,6990,NA,137.98,NA,4610,NA,91,NA,1880,NA,37.11,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2003,All of Scotland,F60 - F69,1260,NA,24.86,NA,860,NA,16.97,NA,110,NA,2.17,NA,Disorders of Adult Personality & Behaviour
2003,All of Scotland,F10 - F19,10580,NA,208.74,NA,7800,NA,153.89,NA,300,NA,5.92,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
