year,health_board,sex,individuals_count
2011,NHS Ayrshire and Arran,Male,27
2011,NHS Ayrshire and Arran,Female,11
2011,NHS Ayrshire and Arran,Both Sexes,38
2011,NHS Borders,Male,15
2011,NHS Borders,Female,6
2011,NHS Borders,Both Sexes,21
2011,NHS Dumfries and Galloway,Male,16
2011,NHS Dumfries and Galloway,Female,11
2011,NHS Dumfries and Galloway,Both Sexes,27
2011,NHS Fife,Male,44
2011,NHS Fife,Female,19
2011,NHS Fife,Both Sexes,63
2011,NHS Forth Valley,Male,30
2011,NHS Forth Valley,Female,19
2011,NHS Forth Valley,Both Sexes,49
2011,NHS Grampian,Male,55
2011,NHS Grampian,Female,12
2011,NHS Grampian,Both Sexes,67
2011,NHS Greater Glasgow and Clyde,Male,148
2011,NHS Greater Glasgow and Clyde,Female,63
2011,NHS Greater Glasgow and Clyde,Both Sexes,211
2011,NHS Highland,Male,47
2011,NHS Highland,Female,16
2011,NHS Highland,Both Sexes,63
2011,NHS Lanarkshire,Male,84
2011,NHS Lanarkshire,Female,36
2011,NHS Lanarkshire,Both Sexes,120
2011,NHS Lothian,Male,128
2011,NHS Lothian,Female,42
2011,NHS Lothian,Both Sexes,170
2011,NHS Orkney,Male,2
2011,NHS Orkney,Female,2
2011,NHS Orkney,Both Sexes,4
2011,NHS Shetland,Male,7
2011,NHS Shetland,Both Sexes,7
2011,NHS Tayside,Male,33
2011,NHS Tayside,Female,12
2011,NHS Tayside,Both Sexes,45
2011,NHS Western Isles,Male,3
2011,NHS Western Isles,Female,1
2011,NHS Western Isles,Both Sexes,4
2011,All of Scotland,Male,639
2011,All of Scotland,Female,250
2011,All of Scotland,Both Sexes,889
2012,NHS Ayrshire and Arran,Male,40
2012,NHS Ayrshire and Arran,Female,8
2012,NHS Ayrshire and Arran,Both Sexes,48
2012,NHS Borders,Male,17
2012,NHS Borders,Female,6
2012,NHS Borders,Both Sexes,23
2012,NHS Dumfries and Galloway,Male,16
2012,NHS Dumfries and Galloway,Female,6
2012,NHS Dumfries and Galloway,Both Sexes,22
2012,NHS Fife,Male,40
2012,NHS Fife,Female,18
2012,NHS Fife,Both Sexes,58
2012,NHS Forth Valley,Male,33
2012,NHS Forth Valley,Female,11
2012,NHS Forth Valley,Both Sexes,44
2012,NHS Grampian,Male,54
2012,NHS Grampian,Female,15
2012,NHS Grampian,Both Sexes,69
2012,NHS Greater Glasgow and Clyde,Male,125
2012,NHS Greater Glasgow and Clyde,Female,57
2012,NHS Greater Glasgow and Clyde,Both Sexes,182
2012,NHS Highland,Male,41
2012,NHS Highland,Female,18
2012,NHS Highland,Both Sexes,59
2012,NHS Lanarkshire,Male,76
2012,NHS Lanarkshire,Female,26
2012,NHS Lanarkshire,Both Sexes,102
2012,NHS Lothian,Male,119
2012,NHS Lothian,Female,43
2012,NHS Lothian,Both Sexes,162
2012,NHS Orkney,Male,1
2012,NHS Orkney,Both Sexes,1
2012,NHS Shetland,Male,6
2012,NHS Shetland,Female,1
2012,NHS Shetland,Both Sexes,7
2012,NHS Tayside,Male,38
2012,NHS Tayside,Female,12
2012,NHS Tayside,Both Sexes,50
2012,NHS Western Isles,Male,2
2012,NHS Western Isles,Female,1
2012,NHS Western Isles,Both Sexes,3
2012,All of Scotland,Male,608
2012,All of Scotland,Female,222
2012,All of Scotland,Both Sexes,830
2013,NHS Ayrshire and Arran,Male,31
2013,NHS Ayrshire and Arran,Female,11
2013,NHS Ayrshire and Arran,Both Sexes,42
2013,NHS Borders,Male,10
2013,NHS Borders,Female,5
2013,NHS Borders,Both Sexes,15
2013,NHS Dumfries and Galloway,Male,13
2013,NHS Dumfries and Galloway,Female,5
2013,NHS Dumfries and Galloway,Both Sexes,18
2013,NHS Fife,Male,56
2013,NHS Fife,Female,12
2013,NHS Fife,Both Sexes,68
2013,NHS Forth Valley,Male,33
2013,NHS Forth Valley,Female,12
2013,NHS Forth Valley,Both Sexes,45
2013,NHS Grampian,Male,50
2013,NHS Grampian,Female,27
2013,NHS Grampian,Both Sexes,77
2013,NHS Greater Glasgow and Clyde,Male,132
2013,NHS Greater Glasgow and Clyde,Female,31
2013,NHS Greater Glasgow and Clyde,Both Sexes,163
2013,NHS Highland,Male,38
2013,NHS Highland,Female,5
2013,NHS Highland,Both Sexes,43
2013,NHS Lanarkshire,Male,66
2013,NHS Lanarkshire,Female,22
2013,NHS Lanarkshire,Both Sexes,88
2013,NHS Lothian,Male,117
2013,NHS Lothian,Female,35
2013,NHS Lothian,Both Sexes,152
2013,NHS Orkney,Male,3
2013,NHS Orkney,Female,1
2013,NHS Orkney,Both Sexes,4
2013,NHS Shetland,Male,4
2013,NHS Shetland,Female,1
2013,NHS Shetland,Both Sexes,5
2013,NHS Tayside,Male,55
2013,NHS Tayside,Female,15
2013,NHS Tayside,Both Sexes,70
2013,NHS Western Isles,Male,3
2013,NHS Western Isles,Female,2
2013,NHS Western Isles,Both Sexes,5
2013,All of Scotland,Male,611
2013,All of Scotland,Female,184
2013,All of Scotland,Both Sexes,795
2014,NHS Ayrshire and Arran,Male,30
2014,NHS Ayrshire and Arran,Female,14
2014,NHS Ayrshire and Arran,Both Sexes,44
2014,NHS Borders,Male,9
2014,NHS Borders,Female,3
2014,NHS Borders,Both Sexes,12
2014,NHS Dumfries and Galloway,Male,11
2014,NHS Dumfries and Galloway,Female,6
2014,NHS Dumfries and Galloway,Both Sexes,17
2014,NHS Fife,Male,39
2014,NHS Fife,Female,19
2014,NHS Fife,Both Sexes,58
2014,NHS Forth Valley,Male,34
2014,NHS Forth Valley,Female,12
2014,NHS Forth Valley,Both Sexes,46
2014,NHS Grampian,Male,52
2014,NHS Grampian,Female,18
2014,NHS Grampian,Both Sexes,70
2014,NHS Greater Glasgow and Clyde,Male,110
2014,NHS Greater Glasgow and Clyde,Female,42
2014,NHS Greater Glasgow and Clyde,Both Sexes,152
2014,NHS Highland,Male,30
2014,NHS Highland,Female,19
2014,NHS Highland,Both Sexes,49
2014,NHS Lanarkshire,Male,55
2014,NHS Lanarkshire,Female,22
2014,NHS Lanarkshire,Both Sexes,77
2014,NHS Lothian,Male,90
2014,NHS Lothian,Female,31
2014,NHS Lothian,Both Sexes,121
2014,NHS Orkney,Male,3
2014,NHS Orkney,Female,2
2014,NHS Orkney,Both Sexes,5
2014,NHS Shetland,Male,1
2014,NHS Shetland,Both Sexes,1
2014,NHS Tayside,Male,30
2014,NHS Tayside,Female,10
2014,NHS Tayside,Both Sexes,40
2014,NHS Western Isles,Male,3
2014,NHS Western Isles,Female,1
2014,NHS Western Isles,Both Sexes,4
2014,All of Scotland,Male,497
2014,All of Scotland,Female,199
2014,All of Scotland,Both Sexes,696
2015,NHS Ayrshire and Arran,Male,38
2015,NHS Ayrshire and Arran,Female,3
2015,NHS Ayrshire and Arran,Both Sexes,41
2015,NHS Borders,Male,7
2015,NHS Borders,Female,11
2015,NHS Borders,Both Sexes,18
2015,NHS Dumfries and Galloway,Male,13
2015,NHS Dumfries and Galloway,Female,1
2015,NHS Dumfries and Galloway,Both Sexes,14
2015,NHS Fife,Male,30
2015,NHS Fife,Female,11
2015,NHS Fife,Both Sexes,41
2015,NHS Forth Valley,Male,34
2015,NHS Forth Valley,Female,13
2015,NHS Forth Valley,Both Sexes,47
2015,NHS Grampian,Male,63
2015,NHS Grampian,Female,30
2015,NHS Grampian,Both Sexes,93
2015,NHS Greater Glasgow and Clyde,Male,85
2015,NHS Greater Glasgow and Clyde,Female,51
2015,NHS Greater Glasgow and Clyde,Both Sexes,136
2015,NHS Highland,Male,36
2015,NHS Highland,Female,15
2015,NHS Highland,Both Sexes,51
2015,NHS Lanarkshire,Male,53
2015,NHS Lanarkshire,Female,19
2015,NHS Lanarkshire,Both Sexes,72
2015,NHS Lothian,Male,72
2015,NHS Lothian,Female,23
2015,NHS Lothian,Both Sexes,95
2015,NHS Orkney,Male,2
2015,NHS Orkney,Female,1
2015,NHS Orkney,Both Sexes,3
2015,NHS Shetland,Male,3
2015,NHS Shetland,Both Sexes,3
2015,NHS Tayside,Male,37
2015,NHS Tayside,Female,17
2015,NHS Tayside,Both Sexes,54
2015,NHS Western Isles,Male,3
2015,NHS Western Isles,Female,1
2015,NHS Western Isles,Both Sexes,4
2015,All of Scotland,Male,476
2015,All of Scotland,Female,196
2015,All of Scotland,Both Sexes,672
2016,NHS Ayrshire and Arran,Male,37
2016,NHS Ayrshire and Arran,Female,10
2016,NHS Ayrshire and Arran,Both Sexes,47
2016,NHS Borders,Male,8
2016,NHS Borders,Female,4
2016,NHS Borders,Both Sexes,12
2016,NHS Dumfries and Galloway,Male,12
2016,NHS Dumfries and Galloway,Female,8
2016,NHS Dumfries and Galloway,Both Sexes,20
2016,NHS Fife,Male,30
2016,NHS Fife,Female,13
2016,NHS Fife,Both Sexes,43
2016,NHS Forth Valley,Male,40
2016,NHS Forth Valley,Female,19
2016,NHS Forth Valley,Both Sexes,59
2016,NHS Grampian,Male,62
2016,NHS Grampian,Female,17
2016,NHS Grampian,Both Sexes,79
2016,NHS Greater Glasgow and Clyde,Male,100
2016,NHS Greater Glasgow and Clyde,Female,40
2016,NHS Greater Glasgow and Clyde,Both Sexes,140
2016,NHS Highland,Male,28
2016,NHS Highland,Female,15
2016,NHS Highland,Both Sexes,43
2016,NHS Lanarkshire,Male,68
2016,NHS Lanarkshire,Female,18
2016,NHS Lanarkshire,Both Sexes,86
2016,NHS Lothian,Male,81
2016,NHS Lothian,Female,38
2016,NHS Lothian,Both Sexes,119
2016,NHS Orkney,Male,2
2016,NHS Orkney,Female,1
2016,NHS Orkney,Both Sexes,3
2016,NHS Tayside,Male,48
2016,NHS Tayside,Female,26
2016,NHS Tayside,Both Sexes,74
2016,NHS Western Isles,Male,1
2016,NHS Western Isles,Female,2
2016,NHS Western Isles,Both Sexes,3
2016,All of Scotland,Male,517
2016,All of Scotland,Female,211
2016,All of Scotland,Both Sexes,728
2017,NHS Ayrshire and Arran,Male,37
2017,NHS Ayrshire and Arran,Female,9
2017,NHS Ayrshire and Arran,Both Sexes,46
2017,NHS Borders,Male,7
2017,NHS Borders,Female,4
2017,NHS Borders,Both Sexes,11
2017,NHS Dumfries and Galloway,Male,9
2017,NHS Dumfries and Galloway,Female,7
2017,NHS Dumfries and Galloway,Both Sexes,16
2017,NHS Fife,Male,39
2017,NHS Fife,Female,13
2017,NHS Fife,Both Sexes,52
2017,NHS Forth Valley,Male,28
2017,NHS Forth Valley,Female,14
2017,NHS Forth Valley,Both Sexes,42
2017,NHS Grampian,Male,49
2017,NHS Grampian,Female,14
2017,NHS Grampian,Both Sexes,63
2017,NHS Greater Glasgow and Clyde,Male,113
2017,NHS Greater Glasgow and Clyde,Female,34
2017,NHS Greater Glasgow and Clyde,Both Sexes,147
2017,NHS Highland,Male,44
2017,NHS Highland,Female,14
2017,NHS Highland,Both Sexes,58
2017,NHS Lanarkshire,Male,59
2017,NHS Lanarkshire,Female,14
2017,NHS Lanarkshire,Both Sexes,73
2017,NHS Lothian,Male,74
2017,NHS Lothian,Female,25
2017,NHS Lothian,Both Sexes,99
2017,NHS Orkney,Male,4
2017,NHS Orkney,Female,1
2017,NHS Orkney,Both Sexes,5
2017,NHS Tayside,Male,53
2017,NHS Tayside,Female,9
2017,NHS Tayside,Both Sexes,62
2017,NHS Western Isles,Male,6
2017,NHS Western Isles,Both Sexes,6
2017,All of Scotland,Male,522
2017,All of Scotland,Female,158
2017,All of Scotland,Both Sexes,680
2018,NHS Ayrshire and Arran,Male,51
2018,NHS Ayrshire and Arran,Female,14
2018,NHS Ayrshire and Arran,Both Sexes,65
2018,NHS Borders,Male,10
2018,NHS Borders,Female,8
2018,NHS Borders,Both Sexes,18
2018,NHS Dumfries and Galloway,Male,15
2018,NHS Dumfries and Galloway,Female,4
