_id,FinancialYear,HBT,HBTQF,Dataset,DatasetQF,ICD10Codes,DischargeCount,DischargeCountQF,DischargeRates,DischargeRatesQF,PatientsCount,PatientCountQF,PatientsRates,PatientRatesQF,HospitalResidentsCount,HospitalResidentsCountQF,HospitalResidentsRates,HospitalResidentsRatesQF
1,1997/98,S92000003,d,Total,d,F60 - F69,1230, ,24.2, ,850, ,16.72, ,140, ,2.75, 
2,1997/98,S92000003,d,SMR01, ,F60 - F69,60, ,1.18, ,50, ,0.98, , ,:, ,:
3,1997/98,S92000003,d,SMR04, ,F60 - F69,1170, ,23.02, ,810, ,15.93, ,140, ,2.75, 
4,1997/98,S92000003,d,Total,d,F10 - F19,11010, ,216.59, ,8230, ,161.9, ,490, ,9.64, 
5,1997/98,S92000003,d,SMR01, ,F10 - F19,5330, ,104.85, ,4350, ,85.57, , ,:, ,:
6,1997/98,S92000003,d,SMR04, ,F10 - F19,5680, ,111.74, ,4300, ,84.59, ,490, ,9.64, 
7,1997/98,S92000003,d,Total,d,F30 - F39,9460, ,186.1, ,7040, ,138.49, ,1180, ,23.21, 
8,1997/98,S92000003,d,SMR01, ,F30 - F39,570, ,11.21, ,490, ,9.64, , ,:, ,:
9,1997/98,S92000003,d,SMR04, ,F30 - F39,8880, ,174.69, ,6670, ,131.21, ,1180, ,23.21, 
10,1997/98,S92000003,d,Total,d,F40 - F49,3200, ,62.95, ,2760, ,54.3, ,170, ,3.34, 
11,1997/98,S92000003,d,SMR01, ,F40 - F49,750, ,14.75, ,670, ,13.18, , ,:, ,:
12,1997/98,S92000003,d,SMR04, ,F40 - F49,2460, ,48.39, ,2100, ,41.31, ,170, ,3.34, 
13,1997/98,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,8900, ,175.08, ,6120, ,120.39, ,3160, ,62.16, 
14,1997/98,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2310, ,45.44, ,1870, ,36.79, , ,:, ,:
