_id,FinancialYear,HBT,HBTQF,Dataset,DatasetQF,LengthOfStay,NumberOfStays
1,1997/98,SB0801, ,SMR01, ,< 1 day,0
2,1997/98,SB0801, ,SMR01, ,1 - 7 days,0
3,1997/98,SB0801, ,SMR01, ,8 - 28 days,0
4,1997/98,SB0801, ,SMR01, ,29 days - 6 months,0
5,1997/98,SB0801, ,SMR01, ,> 6 months,0
6,1997/98,SB0801, ,SMR04, ,< 1 day,0
7,1997/98,SB0801, ,SMR04, ,1 - 7 days,0
8,1997/98,SB0801, ,SMR04, ,8 - 28 days,0
9,1997/98,SB0801, ,SMR04, ,29 days - 6 months,0
10,1997/98,SB0801, ,SMR04, ,> 6 months,0
11,1997/98,SB0801, ,Total,d,< 1 day,0
12,1997/98,SB0801, ,Total,d,1 - 7 days,0
13,1997/98,SB0801, ,Total,d,8 - 28 days,0
14,1997/98,SB0801, ,Total,d,29 days - 6 months,0
15,1997/98,SB0801, ,Total,d,> 6 months,0
16,1997/98,S08000015, ,SMR01, ,< 1 day,220
17,1997/98,S08000015, ,SMR01, ,1 - 7 days,460
18,1997/98,S08000015, ,SMR01, ,8 - 28 days,130
19,1997/98,S08000015, ,SMR01, ,29 days - 6 months,50
20,1997/98,S08000015, ,SMR01, ,> 6 months,10
21,1997/98,S08000015, ,SMR04, ,< 1 day,50
22,1997/98,S08000015, ,SMR04, ,1 - 7 days,630
23,1997/98,S08000015, ,SMR04, ,8 - 28 days,1080
24,1997/98,S08000015, ,SMR04, ,29 days - 6 months,590
25,1997/98,S08000015, ,SMR04, ,> 6 months,140
26,1997/98,S08000015, ,Total,d,< 1 day,270
27,1997/98,S08000015, ,Total,d,1 - 7 days,1080
28,1997/98,S08000015, ,Total,d,8 - 28 days,1210
29,1997/98,S08000015, ,Total,d,29 days - 6 months,640
30,1997/98,S08000015, ,Total,d,> 6 months,150
31,1997/98,S08000016, ,SMR01, ,< 1 day,40
32,1997/98,S08000016, ,SMR01, ,1 - 7 days,90
33,1997/98,S08000016, ,SMR01, ,8 - 28 days,60
34,1997/98,S08000016, ,SMR01, ,29 days - 6 months,40
35,1997/98,S08000016, ,SMR01, ,> 6 months,0
36,1997/98,S08000016, ,SMR04, ,< 1 day,10
37,1997/98,S08000016, ,SMR04, ,1 - 7 days,200
38,1997/98,S08000016, ,SMR04, ,8 - 28 days,230
39,1997/98,S08000016, ,SMR04, ,29 days - 6 months,140
40,1997/98,S08000016, ,SMR04, ,> 6 months,60
41,1997/98,S08000016, ,Total,d,< 1 day,50
42,1997/98,S08000016, ,Total,d,1 - 7 days,290
43,1997/98,S08000016, ,Total,d,8 - 28 days,290
44,1997/98,S08000016, ,Total,d,29 days - 6 months,180
45,1997/98,S08000016, ,Total,d,> 6 months,60
46,1997/98,S08000017, ,SMR01, ,< 1 day,40
47,1997/98,S08000017, ,SMR01, ,1 - 7 days,120
48,1997/98,S08000017, ,SMR01, ,8 - 28 days,50
49,1997/98,S08000017, ,SMR01, ,29 days - 6 months,20
50,1997/98,S08000017, ,SMR01, ,> 6 months,0
51,1997/98,S08000017, ,SMR04, ,< 1 day,20
52,1997/98,S08000017, ,SMR04, ,1 - 7 days,190
53,1997/98,S08000017, ,SMR04, ,8 - 28 days,250
54,1997/98,S08000017, ,SMR04, ,29 days - 6 months,280
55,1997/98,S08000017, ,SMR04, ,> 6 months,70
56,1997/98,S08000017, ,Total,d,< 1 day,50
57,1997/98,S08000017, ,Total,d,1 - 7 days,320
58,1997/98,S08000017, ,Total,d,8 - 28 days,300
59,1997/98,S08000017, ,Total,d,29 days - 6 months,300
60,1997/98,S08000017, ,Total,d,> 6 months,70
61,1997/98,S08000029, ,SMR01, ,< 1 day,60
62,1997/98,S08000029, ,SMR01, ,1 - 7 days,130
63,1997/98,S08000029, ,SMR01, ,8 - 28 days,30
64,1997/98,S08000029, ,SMR01, ,29 days - 6 months,30
65,1997/98,S08000029, ,SMR01, ,> 6 months,0
66,1997/98,S08000029, ,SMR04, ,< 1 day,30
67,1997/98,S08000029, ,SMR04, ,1 - 7 days,460
68,1997/98,S08000029, ,SMR04, ,8 - 28 days,580
69,1997/98,S08000029, ,SMR04, ,29 days - 6 months,540
70,1997/98,S08000029, ,SMR04, ,> 6 months,120
71,1997/98,S08000029, ,Total,d,< 1 day,90
72,1997/98,S08000029, ,Total,d,1 - 7 days,590
73,1997/98,S08000029, ,Total,d,8 - 28 days,610
