_id,Year,HBR,HBRQF,Sex,SexQF,IndividualsCount
1,2011,S08000015,"",Male,"",27
2,2011,S08000015,"",Female,"",11
3,2011,S08000015,"",Both Sexes,d,38
4,2011,S08000016,"",Male,"",15
5,2011,S08000016,"",Female,"",6
6,2011,S08000016,"",Both Sexes,d,21
7,2011,S08000017,"",Male,"",16
8,2011,S08000017,"",Female,"",11
9,2011,S08000017,"",Both Sexes,d,27
10,2011,S08000018,"",Male,"",44
11,2011,S08000018,"",Female,"",19
12,2011,S08000018,"",Both Sexes,d,63
13,2011,S08000019,"",Male,"",30
14,2011,S08000019,"",Female,"",19
15,2011,S08000019,"",Both Sexes,d,49
16,2011,S08000020,"",Male,"",55
17,2011,S08000020,"",Female,"",12
18,2011,S08000020,"",Both Sexes,d,67
19,2011,S08000021,"",Male,"",148
20,2011,S08000021,"",Female,"",63
21,2011,S08000021,"",Both Sexes,d,211
22,2011,S08000022,"",Male,"",47
23,2011,S08000022,"",Female,"",16
24,2011,S08000022,"",Both Sexes,d,63
25,2011,S08000023,"",Male,"",84
26,2011,S08000023,"",Female,"",36
27,2011,S08000023,"",Both Sexes,d,120
28,2011,S08000024,"",Male,"",128
29,2011,S08000024,"",Female,"",42
30,2011,S08000024,"",Both Sexes,d,170
31,2011,S08000025,"",Male,"",2
32,2011,S08000025,"",Female,"",2
33,2011,S08000025,"",Both Sexes,d,4
34,2011,S08000026,"",Male,"",7
35,2011,S08000026,"",Both Sexes,d,7
36,2011,S08000027,"",Male,"",33
37,2011,S08000027,"",Female,"",12
38,2011,S08000027,"",Both Sexes,d,45
39,2011,S08000028,"",Male,"",3
40,2011,S08000028,"",Female,"",1
41,2011,S08000028,"",Both Sexes,d,4
42,2011,S92000003,d,Male,d,639
43,2011,S92000003,d,Female,d,250
44,2011,S92000003,d,Both Sexes,d,889
45,2012,S08000015,"",Male,"",40
46,2012,S08000015,"",Female,"",8
47,2012,S08000015,"",Both Sexes,d,48
48,2012,S08000016,"",Male,"",17
49,2012,S08000016,"",Female,"",6
50,2012,S08000016,"",Both Sexes,d,23
51,2012,S08000017,"",Male,"",16
52,2012,S08000017,"",Female,"",6
53,2012,S08000017,"",Both Sexes,d,22
54,2012,S08000018,"",Male,"",40
55,2012,S08000018,"",Female,"",18
56,2012,S08000018,"",Both Sexes,d,58
